config_id,sample_id,repeat,weight_quant,cache_type_k,cache_type_v,flash_attention,backend,status,generated_text,reference_text,exact_match_normalized,wer_percent,projected_device_memory_mib,kv_buffer_mib,audio_encode_ms,audio_decode_ms,prompt_tokens_per_second,generation_tokens_per_second,total_model_ms,wall_ms,fallback_ops
f16_fa_on,asr,1,Q4_0,f16,f16,on,Apple M2 Metal with documented encoder fallbacks,passed,The stale smell of old beer lingers. It takes heat to bring out the odor. A cold dip restores health and zest. A salt pickle tastes fine with ham. Tacos al pastor are my favorite. A zestful food is the hot cross bun.,The stale smell of old beer lingers. It takes heat to bring out the odor. A cold dip restores health and zest. A salt pickle tastes fine with ham. Tacos al pastor are my favorite. A zestful food is the hot cross bun.,True,0.0,,48.0,608.0,2.0,218.11,20.76,3923.43,5170.0,CONV_2D_DW;ROLL;UNARY
f16_fa_on,asr,2,Q4_0,f16,f16,on,Apple M2 Metal with documented encoder fallbacks,passed,The stale smell of old beer lingers. It takes heat to bring out the odor. A cold dip restores health and zest. A salt pickle tastes fine with ham. Tacos al pastor are my favorite. A zestful food is the hot cross bun.,The stale smell of old beer lingers. It takes heat to bring out the odor. A cold dip restores health and zest. A salt pickle tastes fine with ham. Tacos al pastor are my favorite. A zestful food is the hot cross bun.,True,0.0,,48.0,380.0,2.0,277.56,23.16,3389.34,4140.0,CONV_2D_DW;ROLL;UNARY
f16_fa_on,asr,3,Q4_0,f16,f16,on,Apple M2 Metal with documented encoder fallbacks,passed,The stale smell of old beer lingers. It takes heat to bring out the odor. A cold dip restores health and zest. A salt pickle tastes fine with ham. Tacos al pastor are my favorite. A zestful food is the hot cross bun.,The stale smell of old beer lingers. It takes heat to bring out the odor. A cold dip restores health and zest. A salt pickle tastes fine with ham. Tacos al pastor are my favorite. A zestful food is the hot cross bun.,True,0.0,,48.0,530.0,2.0,228.07,23.17,3583.91,4650.0,CONV_2D_DW;ROLL;UNARY
f16_fa_on,asr,4,Q4_0,f16,f16,on,Apple M2 Metal with documented encoder fallbacks,passed,The stale smell of old beer lingers. It takes heat to bring out the odor. A cold dip restores health and zest. A salt pickle tastes fine with ham. Tacos al pastor are my favorite. A zestful food is the hot cross bun.,The stale smell of old beer lingers. It takes heat to bring out the odor. A cold dip restores health and zest. A salt pickle tastes fine with ham. Tacos al pastor are my favorite. A zestful food is the hot cross bun.,True,0.0,,48.0,373.0,4.0,263.44,24.9,3264.04,4150.0,CONV_2D_DW;ROLL;UNARY
f16_fa_on,asr,5,Q4_0,f16,f16,on,Apple M2 Metal with documented encoder fallbacks,passed,The stale smell of old beer lingers. It takes heat to bring out the odor. A cold dip restores health and zest. A salt pickle tastes fine with ham. Tacos al pastor are my favorite. A zestful food is the hot cross bun.,The stale smell of old beer lingers. It takes heat to bring out the odor. A cold dip restores health and zest. A salt pickle tastes fine with ham. Tacos al pastor are my favorite. A zestful food is the hot cross bun.,True,0.0,,48.0,439.0,3.0,275.55,26.8,3060.07,4170.0,CONV_2D_DW;ROLL;UNARY
f16_fa_on,question,1,Q4_0,f16,f16,on,Apple M2 Metal with documented encoder fallbacks,passed,Can you help me come up with a slogan for my woodworking site business?,Can you help me come up with a slogan for my woodworking site business?,True,0.0,,48.0,201.0,1.0,183.91,23.84,1119.48,2640.0,CONV_2D_DW;ROLL;UNARY
f16_fa_on,question,2,Q4_0,f16,f16,on,Apple M2 Metal with documented encoder fallbacks,passed,Can you help me come up with a slogan for my woodworking site business?,Can you help me come up with a slogan for my woodworking site business?,True,0.0,,48.0,136.0,2.0,329.9,33.53,729.53,1620.0,CONV_2D_DW;ROLL;UNARY
f16_fa_on,question,3,Q4_0,f16,f16,on,Apple M2 Metal with documented encoder fallbacks,passed,Can you help me come up with a slogan for my woodworking site business?,Can you help me come up with a slogan for my woodworking site business?,True,0.0,,48.0,180.0,1.0,249.89,28.62,891.41,2120.0,CONV_2D_DW;ROLL;UNARY
f16_fa_on,question,4,Q4_0,f16,f16,on,Apple M2 Metal with documented encoder fallbacks,passed,Can you help me come up with a slogan for my woodworking site business?,Can you help me come up with a slogan for my woodworking site business?,True,0.0,,48.0,158.0,1.0,300.6,40.13,674.99,1610.0,CONV_2D_DW;ROLL;UNARY
f16_fa_on,question,5,Q4_0,f16,f16,on,Apple M2 Metal with documented encoder fallbacks,passed,Can you help me come up with a slogan for my woodworking site business?,Can you help me come up with a slogan for my woodworking site business?,True,0.0,,48.0,172.0,1.0,242.86,24.08,1005.1,2110.0,CONV_2D_DW;ROLL;UNARY
q4_fa_on,asr,1,Q4_0,q4_0,q4_0,on,Apple M2 Metal with documented encoder fallbacks,passed,The stale smell of old beer lingers. It takes heat to bring out the odor. A cold dip restores health and zest. A salt pickle tastes fine with ham. Tacos al pastor are my favorite. A zestful food is the hot cross bun.,The stale smell of old beer lingers. It takes heat to bring out the odor. A cold dip restores health and zest. A salt pickle tastes fine with ham. Tacos al pastor are my favorite. A zestful food is the hot cross bun.,True,0.0,,13.5,485.0,3.0,253.03,24.85,3309.01,4130.0,CONV_2D_DW;ROLL;UNARY
q4_fa_on,asr,2,Q4_0,q4_0,q4_0,on,Apple M2 Metal with documented encoder fallbacks,passed,The stale smell of old beer lingers. It takes heat to bring out the odor. A cold dip restores health and zest. A salt pickle tastes fine with ham. Tacos al pastor are my favorite. A zestful food is the hot cross bun.,The stale smell of old beer lingers. It takes heat to bring out the odor. A cold dip restores health and zest. A salt pickle tastes fine with ham. Tacos al pastor are my favorite. A zestful food is the hot cross bun.,True,0.0,,13.5,444.0,2.0,265.02,25.65,3192.3,4150.0,CONV_2D_DW;ROLL;UNARY
q4_fa_on,asr,3,Q4_0,q4_0,q4_0,on,Apple M2 Metal with documented encoder fallbacks,passed,The stale smell of old beer lingers. It takes heat to bring out the odor. A cold dip restores health and zest. A salt pickle tastes fine with ham. Tacos al pastor are my favorite. A zestful food is the hot cross bun.,The stale smell of old beer lingers. It takes heat to bring out the odor. A cold dip restores health and zest. A salt pickle tastes fine with ham. Tacos al pastor are my favorite. A zestful food is the hot cross bun.,True,0.0,,13.5,393.0,3.0,291.06,26.17,3063.52,4150.0,CONV_2D_DW;ROLL;UNARY
q4_fa_on,asr,4,Q4_0,q4_0,q4_0,on,Apple M2 Metal with documented encoder fallbacks,passed,The stale smell of old beer lingers. It takes heat to bring out the odor. A cold dip restores health and zest. A salt pickle tastes fine with ham. Tacos al pastor are my favorite. A zestful food is the hot cross bun.,The stale smell of old beer lingers. It takes heat to bring out the odor. A cold dip restores health and zest. A salt pickle tastes fine with ham. Tacos al pastor are my favorite. A zestful food is the hot cross bun.,True,0.0,,13.5,413.0,3.0,285.38,25.68,3121.98,4150.0,CONV_2D_DW;ROLL;UNARY
q4_fa_on,asr,5,Q4_0,q4_0,q4_0,on,Apple M2 Metal with documented encoder fallbacks,passed,The stale smell of old beer lingers. It takes heat to bring out the odor. A cold dip restores health and zest. A salt pickle tastes fine with ham. Tacos al pastor are my favorite. A zestful food is the hot cross bun.,The stale smell of old beer lingers. It takes heat to bring out the odor. A cold dip restores health and zest. A salt pickle tastes fine with ham. Tacos al pastor are my favorite. A zestful food is the hot cross bun.,True,0.0,,13.5,363.0,3.0,296.39,25.93,3067.83,4150.0,CONV_2D_DW;ROLL;UNARY
q4_fa_on,question,1,Q4_0,q4_0,q4_0,on,Apple M2 Metal with documented encoder fallbacks,passed,Can you help me come up with a slogan for my woodworking site business?,Can you help me come up with a slogan for my woodworking site business?,True,0.0,,13.5,144.0,85.0,263.38,26.37,922.39,2620.0,CONV_2D_DW;ROLL;UNARY
q4_fa_on,question,2,Q4_0,q4_0,q4_0,on,Apple M2 Metal with documented encoder fallbacks,passed,Can you help me come up with a slogan for my woodworking site business?,Can you help me come up with a slogan for my woodworking site business?,True,0.0,,13.5,150.0,1.0,330.12,51.11,565.63,1620.0,CONV_2D_DW;ROLL;UNARY
q4_fa_on,question,3,Q4_0,q4_0,q4_0,on,Apple M2 Metal with documented encoder fallbacks,passed,Can you help me come up with a slogan for my woodworking site business?,Can you help me come up with a slogan for my woodworking site business?,True,0.0,,13.5,139.0,1.0,336.56,32.62,738.14,1630.0,CONV_2D_DW;ROLL;UNARY
q4_fa_on,question,4,Q4_0,q4_0,q4_0,on,Apple M2 Metal with documented encoder fallbacks,passed,Can you help me come up with a slogan for my woodworking site business?,Can you help me come up with a slogan for my woodworking site business?,True,0.0,,13.5,137.0,1.0,337.3,38.67,660.94,1630.0,CONV_2D_DW;ROLL;UNARY
q4_fa_on,question,5,Q4_0,q4_0,q4_0,on,Apple M2 Metal with documented encoder fallbacks,passed,Can you help me come up with a slogan for my woodworking site business?,Can you help me come up with a slogan for my woodworking site business?,True,0.0,,13.5,131.0,1.0,347.32,26.99,833.2,1620.0,CONV_2D_DW;ROLL;UNARY
q8_fa_on,asr,1,Q4_0,q8_0,q8_0,on,Apple M2 Metal with documented encoder fallbacks,passed,The stale smell of old beer lingers. It takes heat to bring out the odor. A cold dip restores health and zest. A salt pickle tastes fine with ham. Tacos al pastor are my favorite. A zestful food is the hot cross bun.,The stale smell of old beer lingers. It takes heat to bring out the odor. A cold dip restores health and zest. A salt pickle tastes fine with ham. Tacos al pastor are my favorite. A zestful food is the hot cross bun.,True,0.0,,25.5,486.0,4.0,213.73,28.48,3198.07,4140.0,CONV_2D_DW;ROLL;UNARY
q8_fa_on,asr,2,Q4_0,q8_0,q8_0,on,Apple M2 Metal with documented encoder fallbacks,passed,The stale smell of old beer lingers. It takes heat to bring out the odor. A cold dip restores health and zest. A salt pickle tastes fine with ham. Tacos al pastor are my favorite. A zestful food is the hot cross bun.,The stale smell of old beer lingers. It takes heat to bring out the odor. A cold dip restores health and zest. A salt pickle tastes fine with ham. Tacos al pastor are my favorite. A zestful food is the hot cross bun.,True,0.0,,25.5,439.0,3.0,252.32,26.46,3173.45,4150.0,CONV_2D_DW;ROLL;UNARY
q8_fa_on,asr,3,Q4_0,q8_0,q8_0,on,Apple M2 Metal with documented encoder fallbacks,passed,The stale smell of old beer lingers. It takes heat to bring out the odor. A cold dip restores health and zest. A salt pickle tastes fine with ham. Tacos al pastor are my favorite. A zestful food is the hot cross bun.,The stale smell of old beer lingers. It takes heat to bring out the odor. A cold dip restores health and zest. A salt pickle tastes fine with ham. Tacos al pastor are my favorite. A zestful food is the hot cross bun.,True,0.0,,25.5,476.0,3.0,225.57,23.5,3567.43,4640.0,CONV_2D_DW;ROLL;UNARY
q8_fa_on,asr,4,Q4_0,q8_0,q8_0,on,Apple M2 Metal with documented encoder fallbacks,passed,The stale smell of old beer lingers. It takes heat to bring out the odor. A cold dip restores health and zest. A salt pickle tastes fine with ham. Tacos al pastor are my favorite. A zestful food is the hot cross bun.,The stale smell of old beer lingers. It takes heat to bring out the odor. A cold dip restores health and zest. A salt pickle tastes fine with ham. Tacos al pastor are my favorite. A zestful food is the hot cross bun.,True,0.0,,25.5,837.0,3.0,162.71,25.1,3833.75,4630.0,CONV_2D_DW;ROLL;UNARY
q8_fa_on,asr,5,Q4_0,q8_0,q8_0,on,Apple M2 Metal with documented encoder fallbacks,passed,The stale smell of old beer lingers. It takes heat to bring out the odor. A cold dip restores health and zest. A salt pickle tastes fine with ham. Tacos al pastor are my favorite. A zestful food is the hot cross bun.,The stale smell of old beer lingers. It takes heat to bring out the odor. A cold dip restores health and zest. A salt pickle tastes fine with ham. Tacos al pastor are my favorite. A zestful food is the hot cross bun.,True,0.0,,25.5,554.0,3.0,228.75,26.69,3254.84,4160.0,CONV_2D_DW;ROLL;UNARY
q8_fa_on,question,1,Q4_0,q8_0,q8_0,on,Apple M2 Metal with documented encoder fallbacks,passed,Can you help me come up with a slogan for my woodworking site business?,Can you help me come up with a slogan for my woodworking site business?,True,0.0,,25.5,121.0,87.0,272.13,73.62,522.88,2100.0,CONV_2D_DW;ROLL;UNARY
q8_fa_on,question,2,Q4_0,q8_0,q8_0,on,Apple M2 Metal with documented encoder fallbacks,passed,Can you help me come up with a slogan for my woodworking site business?,Can you help me come up with a slogan for my woodworking site business?,True,0.0,,25.5,177.0,2.0,233.88,24.87,997.54,2210.0,CONV_2D_DW;ROLL;UNARY
q8_fa_on,question,3,Q4_0,q8_0,q8_0,on,Apple M2 Metal with documented encoder fallbacks,passed,Can you help me come up with a slogan for my woodworking site business?,Can you help me come up with a slogan for my woodworking site business?,True,0.0,,25.5,200.0,1.0,253.15,26.93,922.26,2120.0,CONV_2D_DW;ROLL;UNARY
q8_fa_on,question,4,Q4_0,q8_0,q8_0,on,Apple M2 Metal with documented encoder fallbacks,passed,Can you help me come up with a slogan for my woodworking site business?,Can you help me come up with a slogan for my woodworking site business?,True,0.0,,25.5,137.0,1.0,343.65,41.66,627.54,1640.0,CONV_2D_DW;ROLL;UNARY
q8_fa_on,question,5,Q4_0,q8_0,q8_0,on,Apple M2 Metal with documented encoder fallbacks,passed,Can you help me come up with a slogan for my woodworking site business?,Can you help me come up with a slogan for my woodworking site business?,True,0.0,,25.5,134.0,1.0,348.88,43.86,604.05,1630.0,CONV_2D_DW;ROLL;UNARY
